7176	2166	3821	2300	841	322	16626
9053	2765	4458	2679	879	315	20149
8032	2225	3661	2406	831	333	17488
7992	2512	3693	2297	779	292	17565
7448	2175	3895	2266	681	282	16747
9275	2617	4666	2487	834	311	20190
6932	2018	2976	1875	561	234	14596
6610	2069	3227	1980	568	239	14693
6544	2086	3419	1858	542	230	14679
6308	2140	3497	2043	623	258	14869
6909	2197	3543	2223	646	261	15779
9141	2755	5019	2792	881	319	20907
8120	2483	4012	2504	859	324	18302
7971	2446	4378	2540	796	305	18436
7005	2258	3494	2209	710	272	15948
7491	2381	4028	2493	799	308	17500
7370	2247	3749	2398	777	298	16839
7327	2211	3496	2205	680	276	16195
7726	2338	3870	2456	798	293	17481
7278	2247	3255	2120	688	266	15854
6549	2065	3344	2033	645	253	14889
6770	2013	3092	1989	592	241	14697
6758	2088	3576	2162	698	277	15559
6821	2025	2930	1908	595	239	14518
7035	2290	3717	2447	727	285	16501
7411	2288	3580	2285	691	295	16550
6916	2028	2998	1985	603	248	14778
7046	2209	3428	2174	707	283	15847
6767	2124	3086	2003	643	268	14891
6811	2044	3377	2090	637	267	15226
7305	2302	4040	2401	738	296	17082
10050	3146	5338	3047	1134	400	23115
7935	2404	4034	2417	774	309	17873
7514	2432	4228	2569	901	310	17954
7526	2434	4175	2519	758	321	17733
7907	2426	4545	2660	843	330	18711
7535	2370	4005	2457	757	299	17423
7897	2370	4221	2725	1045	337	18595
7957	2295	4028	2512	907	334	18033
7683	2091	3449	3449	1615	491	18778
7642	2196	3723	2533	845	335	17274
7213	2093	3531	2128	748	283	15996
6616	1677	1500	541	73	26	10433
6328	2068	3161	2068	696	276	14597
7404	2263	3653	2206	776	306	16608
7971	2269	3836	2341	808	319	17544
7580	2560	4179	2650	1236	355	18560
8363	2487	4318	2862	1244	380	19654
8444	2353	4113	2407	1032	337	18686
8634	2416	4825	2536	921	330	19662
7831	2427	3737	2522	1423	351	18291
7969	2437	4715	3449	1621	405	20596
7488	2087	3465	2579	1284	372	17275
12913	2377	4086	2462	828	329	22995
7393	2300	3767	2113	601	252	16426
6378	2154	3275	1925	566	225	14523
7897	2505	4773	2687	758	304	18924
7152	2177	3357	1975	603	242	15506
7423	2401	3879	2558	761	319	17341
7799	2389	4175	2432	717	308	17820
7239	2223	3479	2133	626	259	15959
6634	2056	2898	1838	534	224	14184
5749	2048	2549	1660	488	190	12684
6865	2180	3801	2250	638	260	15994
7101	2240	3448	2104	618	248	15759
7156	2226	3528	2649	1040	319	16918
7397	2164	3462	2069	745	276	16113
8076	2410	4458	3874	1480	555	20853
7947	2465	4629	2654	856	323	18874
8005	2517	4451	2651	905	330	18859
7649	2176	3357	2193	760	291	16426
7209	2227	3512	2183	673	290	16094
6807	2102	3297	1888	594	233	14921
6661	2304	3267	2110	617	249	15208
7038	2273	3829	2245	600	268	16253
7718	2500	3923	2237	666	267	17311
7598	2385	4145	2477	697	300	17602
6379	2061	2970	1954	640	243	14247
7195	2222	3641	2180	728	266	16232
8030	2400	4699	2678	832	335	18974
7920	2422	4378	2498	733	296	18247
7998	2440	4338	2608	821	314	18519
6765	2065	3065	2016	555	244	14710
7436	2400	4024	2511	735	293	17399
7163	2231	3461	2095	617	258	15825
7260	2450	4010	2312	662	269	16963
6822	2147	3310	2105	593	247	15224
7003	2342	3772	2206	629	261	16213
6745	2117	3230	1902	571	238	14803
6744	2098	2986	1815	531	223	14397
10125	3039	5939	3322	1061	374	23860
7005	2196	3389	1971	565	245	15371
8198	2599	4583	2762	885	350	19377
6663	2029	2480	2005	816	284	14277
7495	2339	3692	2315	830	312	16983
7521	2237	3948	2997	934	317	17954
8189	2403	4488	2931	1331	486	19828
8422	2387	4397	2473	831	308	18818
6430	1912	2286	1628	446	209	12911
7575	2480	4416	2774	818	302	18365
